Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
54,P,R.J. Alaniz,28,0,0,,,,,,,,,,,,,,,,,,,,,,
55,P,Connor Sadzeck (60-day IL),27,0,0,,,,,,,,,,,,,,,,,,,,,,
56,P,Zac Grotz,26,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
57,P,Hunter Strickland,30,0,0,,,,,,,,,,,,,,,,,,,,,,
58,P,Taylor Guilbeau*,26,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
59,P,Shawn Armstrong,28,0,0,,,,,,,,,,,,,,,,,,,,,,
60,P,Reggie McClain,26,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
61,P,Anthony Swarzak,33,0,0,,,,,,,,,,,,,,,,,,,,,,
62,P,Justin Dunn,23,0,0,,,,,,,,,,,,,,,,,,,,,,
63,P,Brandon Brennan,27,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
64,P,Ryan Garton,29,0,0,,,,,,,,,,,,,,,,,,,,,,
65,P,Art Warren,26,0,0,,,,,,,,,,,,,,,,,,,,,,
66,P,Tommy Milone*,32,0,0,,,,,,,,,,,,,,,,,,,,,,
67,P,David McKay,24,0,0,,,,,,,,,,,,,,,,,,,,,,
